Inbound,Net Inflow,,Outbound,Net Outflow,,,,,,,,,,
"Sacramento, CA",5700,,"San Francisco, CA",26800,,,,,,,,,,
"Las Vegas, NV",4800,,"Los Angeles, CA",26700,,,,,,,,,,
"Sarasota, FL",4600,,"New York, NY",25900,,,,,,,,,,
"Cape Coral, FL",4300,,"Seattle, WA",18000,,,,,,,,,,
"Phoenix, AZ",4300,,Washington DC,14700,,,,,,,,,,
"Orlando, FL",4000,,"Chicago, IL",9800,,,,,,,,,,
"Myrtle Beach, SC",3700,,"Boston, MA",6700,,,,,,,,,,
"Salibury, MD",3300,,"Philadelphia, PA",3500,,,,,,,,,,
"Hilo, HI",2900,,"Denver, CO",2900,,,,,,,,,,
"Jacksonville, FL",2900,,"Dallas, TX",1800,,,,,,,,,,
,,,,,,,,,,,,,,
Source: Redfin.com,,,,,,,,,,,,,,
Methodology:,,,,,,,,,,,,,,
This data does not reflect actual moves. The latest migration analysis is based on a sample ,,,,,,,,,,,,,,
of about two million Redfin.com users who searched for homes across more than 100 metro areas. ,,,,,,,,,,,,,,
"To be included in this dataset, a Redfin.com user must have viewed at least 10 homes",,,,,,,,,,,,,,
in a three month period. This dataset excludes all rentals data.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,q
